FID,Shape_Leng,Shape_Area,ADM2_EN,ADM2_MN,ADM2_PCODE,ADM2_REF,ADM2ALT1EN,ADM2ALT2EN,ADM2ALT1MN,ADM2ALT2MN,ADM1_EN,ADM1_MN,ADM1_PCODE,ADM0_EN,ADM0_MN,ADM0_PCODE,date,validOn,validTo,Province,Dsitrict,ADM2_CODE,Summary06,Horse06,Cattle06,Camel06,Sheep06,Goat06,Summary02,Horse02,Cattle02,Camel02,Sheep02,Goat02,Summary99,Horse99,Cattle99,Camel99,Sheep99,Goat99,Summary96,Horse96,Cattle96,Camel96,Sheep96,Goat96,Summary92,Horse92,Cattle92,Camel92,Sheep92,Goat92,Den_Goat92,Den_Goat06,Den_Shep02,Den_Shep06,Den_Shep92
0,3.013554280170000,0.388117313834000,Adaacag,Адаацаг,MN4804, , , , , ,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Dundgovi,Adaatsag,MN4804,148.150000000000006,10.330000000000000,5.190000000000000,0.580000000000000,64.719999999999999,67.340000000000003,95.849999999999994,8.180000000000000,3.680000000000000,0.560000000000000,46.009999999999998,37.430000000000000,146.610000000000014,16.480000000000000,11.609999999999999,0.760000000000000,68.750000000000000,49.020000000000003,116.780000000000001,13.390000000000001,9.320000000000000,0.790000000000000,56.659999999999997,36.609999999999999,89.799999999999997,7.890000000000000,6.200000000000000,0.600000000000000,53.909999999999997,21.199999999999999,54.622659810199998,173.504241113999996,118.546631031000004,166.753704854999995,138.901301431999997
1,4.367512740350000,0.860974149343000,Airag,Айраг,MN4404, , , , , ,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Dornogovi,Airag,MN4404,51.369999999999997,4.630000000000000,1.540000000000000,0.850000000000000,24.570000000000000,19.780000000000001,67.930000000000007,7.440000000000000,2.250000000000000,1.140000000000000,30.910000000000000,26.190000000000001,68.959999999999994,9.880000000000001,6.500000000000000,1.160000000000000,31.039999999999999,20.379999999999999,65.890000000000001,7.960000000000000,6.110000000000000,0.970000000000000,31.390000000000001,19.460000000000001,71.540000000000006,6.650000000000000,4.980000000000000,1.120000000000000,45.859999999999999,12.940000000000000,15.029487249800001,22.973976646200001,35.901194041200000,28.537442173799999,53.265246157500002
2,4.739815078160000,0.567036090954000,Alag-Erdene,Алаг-Эрдэнэ,MN6704, , , , , ,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Khovsgol,Alag-Erdene,MN6704,93.840000000000003,5.170000000000000,12.109999999999999,0.030000000000000,33.180000000000000,43.350000000000001,54.520000000000003,6.350000000000000,9.010000000000000,0.050000000000000,18.320000000000000,20.789999999999999,67.939999999999998,7.730000000000000,16.379999999999999,0.070000000000000,26.480000000000000,17.280000000000001,48.119999999999997,6.010000000000000,12.449999999999999,0.030000000000000,19.930000000000000,9.710000000000001,52.600000000000001,5.090000000000000,9.410000000000000,0.020000000000000,33.770000000000003,4.320000000000000,7.618562678670000,76.450160213000004,32.308349137299999,58.514793906999998,59.555292050600002
3,6.001127734310000,0.857596022356000,Aldarxaan,Алдархаан,MN8104, , , , , ,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Zavkhan,Aldarkhaan,MN8104,166.080000000000013,7.270000000000000,7.980000000000000,0.530000000000000,67.379999999999995,82.930000000000007,110.650000000000006,6.930000000000000,5.920000000000000,0.570000000000000,46.850000000000001,50.380000000000003,156.219999999999999,11.619999999999999,16.390000000000001,0.640000000000000,71.859999999999999,55.710000000000001,149.219999999999999,12.140000000000001,16.320000000000000,0.600000000000000,70.040000000000006,50.130000000000003,147.629999999999995,11.949999999999999,13.730000000000000,0.870000000000000,89.620000000000005,31.469999999999999,36.695599302700003,96.700541791399999,54.629451138699999,78.568461424199995,104.501417524999994
4,7.507774865500000,2.276333989050000,Altai,Алтай,MN8204, , , , , ,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Govi-Altai,Altai,MN8204,88.640000000000001,2.590000000000000,0.910000000000000,2.810000000000000,17.070000000000000,65.250000000000000,58.280000000000001,2.070000000000000,0.500000000000000,2.490000000000000,13.020000000000000,40.210000000000001,87.019999999999996,3.710000000000000,2.040000000000000,3.210000000000000,26.570000000000000,51.500000000000000,78.079999999999998,3.650000000000000,2.090000000000000,3.350000000000000,25.649999999999999,43.350000000000001,66.280000000000001,3.040000000000000,2.290000000000000,3.920000000000000,29.010000000000002,28.030000000000001,12.313658775400000,28.664510706200002,5.719723055860000,7.498899582450000,12.744175564500001
5,2.942485470040000,0.383758525646000,Altai,Алтай,MN8304, , , , , ,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Bayan-Olgii,Altai,MN8304,89.510000000000005,5.340000000000000,8.080000000000000,0.320000000000000,42.270000000000003,33.490000000000002,82.900000000000006,5.480000000000000,8.730000000000000,0.470000000000000,40.340000000000003,27.879999999999999,79.769999999999996,6.060000000000000,10.410000000000000,0.630000000000000,38.969999999999999,23.710000000000001,81.159999999999997,5.770000000000000,10.350000000000000,0.560000000000000,42.009999999999998,22.480000000000000,62.030000000000001,4.050000000000000,6.400000000000000,0.420000000000000,39.850000000000001,11.310000000000000,29.471657941600000,87.268419492800007,105.118185796999995,110.147390025999997,103.841341200000002
6,5.665697635460000,1.516920017300000,Altai,Алтай,MN8404, , , , , ,Khovd,Ховд,MN84,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Khovd,Altai,MN8404,148.319999999999993,5.620000000000000,5.270000000000000,1.070000000000000,52.549999999999997,83.810000000000002,95.400000000000006,4.220000000000000,3.690000000000000,1.140000000000000,37.850000000000001,48.509999999999998,99.469999999999999,5.820000000000000,7.050000000000000,1.420000000000000,40.500000000000000,44.680000000000000,101.750000000000000,5.900000000000000,7.790000000000000,1.620000000000000,43.310000000000002,43.140000000000001,97.450000000000003,5.020000000000000,7.180000000000000,2.260000000000000,50.930000000000000,32.060000000000002,21.134931067099998,55.250111439100003,24.951875885600000,34.642564802800003,33.574611330300002
7,3.942456098210000,0.676665984881000,Altanbulag,Алтанбулаг,MN4104, , , , , ,To'v,Төв,MN41,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Tov,Altanbulag,MN4104,153.240000000000009,17.579999999999998,7.620000000000000,0.070000000000000,69.870000000000005,58.100000000000001,96.420000000000002,13.010000000000000,4.490000000000000,0.150000000000000,46.140000000000001,32.619999999999997,153.919999999999987,22.590000000000000,14.279999999999999,0.320000000000000,78.090000000000003,38.630000000000003,117.299999999999997,16.780000000000001,13.910000000000000,0.300000000000000,60.270000000000003,26.039999999999999,100.579999999999998,11.869999999999999,9.779999999999999,0.260000000000000,63.039999999999999,15.640000000000001,23.113323780799998,85.862155477200005,68.187260821300001,103.256261672999997,93.162655443800006
8,3.457148211530000,0.305336716182000,Altanbulag,Алтанбулаг,MN4304, , , , , ,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Selenge,Altanbulag,MN4304,34.149999999999999,1.440000000000000,4.580000000000000,0.010000000000000,16.109999999999999,12.010000000000000,31.960000000000001,2.130000000000000,5.160000000000000,0.020000000000000,15.279999999999999,9.369999999999999,19.199999999999999,1.760000000000000,4.420000000000000,0.000000000000000,9.039999999999999,3.970000000000000,15.960000000000001,1.530000000000000,3.850000000000000,0.000000000000000,8.070000000000000,2.510000000000000,16.699999999999999,1.790000000000000,5.620000000000000,0.000000000000000,8.539999999999999,0.750000000000000,2.456304663840000,39.333625350299997,50.043113684700003,52.761424179300001,27.969122438900001
9,2.749804490610000,0.221154521351000,Altanco'gc,Алтанцөгц,MN8307,Altancogc, , , , ,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Bayan-Olgii,Altantsugts,MN8307,86.969999999999999,4.060000000000000,3.930000000000000,0.360000000000000,32.759999999999998,45.859999999999999,66.829999999999998,3.280000000000000,3.250000000000000,0.490000000000000,26.500000000000000,33.310000000000002,70.019999999999996,4.390000000000000,4.510000000000000,0.520000000000000,29.579999999999998,31.010000000000002,74.569999999999993,4.560000000000000,5.630000000000000,0.550000000000000,35.640000000000001,28.190000000000001,55.340000000000003,3.400000000000000,4.280000000000000,0.890000000000000,31.430000000000000,15.350000000000000,69.408483743500000,207.366323418999997,119.825721121000001,148.131721657000014,142.117826975000014
