Province,Dsitrict,ADM2_CODE,Summary06,Horse06,Cattle06,Camel06,Sheep06,Goat06,Summary02,Horse02,Cattle02,Camel02,Sheep02,Goat02,Summary99,Horse99,Cattle99,Camel99,Sheep99,Goat99,Summary96,Horse96,Cattle96,Camel96,Sheep96,Goat96,Summary92,Horse92,Cattle92,Camel92,Sheep92,Goat92
Zavkhan,Aldarkhaan,MN8104,166.08,7.27,7.98,0.53,67.38,82.93,110.65,6.93,5.92,0.57,46.85,50.38,156.22,11.62,16.39,0.64,71.86,55.71,149.22,12.14,16.32,0.6,70.04,50.13,147.63,11.95,13.73,0.87,89.62,31.47
Zavkhan,Asgat,MN8107,31.36,1.3,1.29,0.02,15.5,13.25,17.41,1.28,0.68,0.02,9.55,5.89,22.95,2.16,1.86,0.04,12.38,6.51,27.3,2.38,2.9,0.01,14.85,7.15,29.69,1.88,2.83,0.01,20.26,4.72
Zavkhan,Bayankhairkhan,MN8113,83.89,2.98,3.42,0.03,48.21,29.25,51.19,2.49,1.65,0.06,31.26,15.73,73.29,5.74,5.67,0.14,43.69,18.05,81.25,6.5,8.21,0.14,49.45,16.95,64.54,4.85,6.25,0.09,44.92,8.43
Zavkhan,Bayantes,MN8110,114.4,2.88,3.43,0.19,51.93,55.96,66.34,2.21,2.21,0.19,32.14,29.59,61.09,3.16,3.68,0.26,28.12,25.87,86.38,6.08,7.51,0.44,39.86,32.5,79.09,4.96,6.79,0.29,47.67,19.37
Zavkhan,Durvuljin,MN8116,127.07,5.72,1.99,1.15,50.81,67.4,85.23,4.25,1.04,1.12,34.02,44.81,152.89,8.02,4.77,1.94,58.94,79.21,157.22,8.38,5.63,1.98,60.92,80.32,128.68,7.13,3.33,2.81,60.9,54.51
Zavkhan,Erdenekhairkhan,MN8167,118.51,3.66,3.19,0.29,71.13,40.24,64.03,2.76,1.85,0.38,38.97,20.07,120.96,7.38,7.56,0.7,75.17,30.16,130.09,7.53,8.34,0.73,80.37,33.13,100.41,5.32,5.27,0.5,70.08,19.24
Zavkhan,Ider,MN8122,93.04,3.93,6.9,0.04,43.33,38.83,43.3,3.83,3.85,0.06,20.05,15.52,91.28,8.48,18.78,0.16,45.75,18.11,71.89,6.94,14.23,0.15,37.5,13.08,68.96,5.64,11.64,0.05,43.97,7.66
Zavkhan,Ikh-Uul,MN8125,118.19,6.42,15.91,0.08,54.53,41.25,66.66,7.79,14.87,0.07,29.1,14.84,126.92,15.47,33.4,0.12,55.14,22.8,129.14,15.31,32.81,0.17,59.06,21.78,103.39,9.75,22.38,0.15,59.03,12.09
Zavkhan,Numrug,MN8128,80.02,4.65,4.04,0.06,41.69,29.58,29.15,3.36,1.51,0.06,15.03,9.2,87.31,11.65,11.99,0.16,49.14,14.37,82.7,10.81,10.46,0.23,49.63,11.57,61.02,6.73,6.7,0.07,43.75,3.78
Zavkhan,Otgon,MN8131,158.8,10.36,13.85,0.55,79.09,54.95,92.95,9.13,11.2,0.69,43.96,27.96,137.08,12.18,19.43,0.89,68.58,36,116.64,10.89,15.83,0.88,59.26,29.77,94.94,6.5,13.34,0.55,60.22,14.33
Zavkhan,Santmargats,MN8134,150.07,6.07,3.73,0.5,84.27,55.5,89.36,3.66,2.22,0.48,49.41,33.59,111.2,6.31,7.16,0.68,59.41,37.64,107.2,7.12,7.43,0.52,58.45,33.68,86.35,4.5,4.91,0.67,58.61,17.66
Zavkhan,Shiluustei,MN8164,94.26,4.6,4.69,0.49,46.44,38.05,55,3.35,2.65,0.53,28.86,19.6,92.25,7.38,8.74,0.84,48.82,26.47,89.69,7.39,8.84,0.82,48.26,24.38,79.65,5.63,6.49,0.4,53.56,13.58
Zavkhan,Songino,MN8137,115.04,4.09,3.36,0.07,69.26,38.27,60.27,2.53,1.49,0.04,37.62,18.59,94.41,6.61,9.17,0.06,59.73,18.85,104.74,8.82,11.25,0.06,66.62,18,96.07,7.37,6.78,0.13,71.2,10.59
Zavkhan,Telmen,MN8146,111.59,7.12,6.2,0.32,60.2,37.74,54.54,6.42,2.89,0.46,29.32,15.45,134.12,14.48,16.12,0.73,77.7,25.09,113.49,12.55,12.66,0.6,68.5,19.19,91.5,8.93,8.37,0.22,65.3,8.68
Zavkhan,Tes,MN8149,92.2,4.18,3.59,0.09,42.03,42.31,61.65,3.36,1.97,0.08,29.79,26.45,60.53,3.81,3.55,0.13,28.49,24.55,76.87,5.16,6.43,0.2,37.69,27.39,73.6,3.95,5.93,0.14,48.13,15.45
Zavkhan,Tosontsengel,MN8140,116.5,6.9,14.23,0.03,46.13,49.22,52.76,7.02,9.66,0.03,19.38,16.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zavkhan,Tsagaanchuluut,MN8158,99.21,5.52,4.91,0.49,47.26,41.02,64.14,4.65,3.64,0.62,30.38,24.85,94.58,7.17,8.34,0.78,49.38,28.91,97.45,8.62,9.73,0.78,50.5,27.83,87.03,6.68,6.68,1.43,56.84,15.41
Zavkhan,Tsagaankhairkhan,MN8155,75.86,3.09,4.31,0.02,33.88,34.56,50.27,3.19,3.78,0.05,23.43,19.82,71.67,4.73,9.12,0.05,37.2,20.57,70.91,5.42,10,0.05,36.94,18.51,59.87,4.1,6.11,0.32,41.64,7.7
