FID,r__2006
0,258.731506347656250
1,311.041809082031250
2,567.205505371093750
3,973.058776855468750
4,145.568237304687500
5,190.012176513671875
6,241.350448608398438
7,149.671646118164062
8,205.233856201171875
9,548.696533203125000
10,618.659851074218750
11,304.926818847656250
12,115.046440124511719
13,103.084609985351562
14,101.908279418945312
15,87.376701354980469
16,123.004920959472656
17,111.565948486328125
18,131.164382934570312
19,143.660293579101562
20,146.377685546875000
21,163.252639770507812
22,160.686492919921875
23,143.708251953125000
24,168.023773193359375
25,334.982482910156250
26,325.165527343750000
27,152.011444091796875
28,119.302734375000000
29,124.899284362792969
30,126.078994750976562
31,134.528152465820312
32,147.872344970703125
33,166.717803955078125
34,207.875122070312500
35,279.381744384765625
36,171.464935302734375
37,140.572616577148438
38,122.064834594726562
39,135.107818603515625
40,156.960113525390625
41,132.059860229492188
42,119.792083740234375
43,121.609107971191406
44,129.877792358398438
45,135.533233642578125
46,150.434951782226562
47,167.175720214843750
48,251.586013793945312
49,396.891784667968750
50,195.153961181640625
51,129.526916503906250
52,122.637802124023438
53,121.273864746093750
54,140.229522705078125
55,95.338035583496094
56,123.128913879394531
57,124.358528137207031
58,137.483779907226562
59,146.774276733398438
60,157.242691040039062
61,167.960464477539062
62,210.554901123046875
63,334.482116699218750
64,212.086212158203125
65,140.068267822265625
66,126.854621887207031
67,121.470008850097656
68,102.226119995117188
69,124.940841674804688
70,125.591613769531250
71,127.928871154785156
72,150.492080688476562
73,166.805541992187500
74,175.264099121093750
75,180.564620971679688
76,195.077255249023438
77,370.575378417968750
78,338.781433105468750
79,152.914306640625000
80,135.457763671875000
81,132.259307861328125
82,92.035606384277344
83,125.969764709472656
84,125.090675354003906
85,131.669006347656250
86,152.750457763671875
87,176.305587768554688
88,211.437011718750000
89,201.281158447265625
90,186.097824096679688
91,248.132339477539062
92,248.837799072265625
93,197.665496826171875
94,158.206161499023438
95,153.033599853515625
96,123.705284118652344
97,125.713340759277344
98,134.062164306640625
99,146.240249633789062
100,177.534149169921875
101,231.178222656250000
102,212.282135009765625
103,179.970718383789062
104,290.106811523437500
105,513.960998535156250
106,558.209533691406250
107,265.722808837890625
108,158.566299438476562
109,97.277572631835938
110,114.826202392578125
111,127.498817443847656
112,126.727203369140625
113,142.291900634765625
114,162.026626586914062
115,169.468124389648438
116,162.903945922851562
117,162.865692138671875
118,273.411468505859375
119,722.598876953125000
120,583.420227050781250
121,243.033721923828125
122,144.802825927734375
123,119.088912963867188
124,74.230125427246094
125,53.637126922607422
126,115.500335693359375
127,76.905937194824219
128,111.602729797363281
129,133.115585327148438
130,129.101715087890625
131,145.778442382812500
132,161.579742431640625
133,194.751251220703125
134,191.794464111328125
135,181.846679687500000
136,229.423583984375000
137,384.947235107421875
138,278.388916015625000
139,157.125411987304688
140,130.631301879882812
141,109.988388061523438
142,96.168418884277344
143,66.095260620117188
144,269.992156982421875
145,135.930465698242188
146,67.531692504882812
147,62.170856475830078
148,131.075759887695312
149,135.476196289062500
150,133.452697753906250
151,144.979110717773438
152,161.372528076171875
153,202.346145629882812
154,198.156295776367188
155,155.509094238281250
156,171.504196166992188
157,176.291992187500000
158,149.505676269531250
159,142.010711669921875
160,110.791076660156250
161,90.469703674316406
162,91.379913330078125
163,228.168838500976562
164,74.453002929687500
165,79.625022888183594
166,84.293365478515625
167,68.728820800781250
168,133.807388305664062
169,135.011276245117188
170,133.521301269531250
171,152.745452880859375
172,156.459579467773438
173,164.707443237304688
174,162.376464843750000
175,162.802841186523438
176,164.984130859375000
177,153.404327392578125
178,128.575500488281250
179,122.346366882324219
180,95.685928344726562
181,82.810646057128906
182,87.526687622070312
183,69.924079895019531
184,64.817771911621094
185,77.771255493164062
186,81.378242492675781
187,66.615257263183594
188,111.683464050292969
189,134.442611694335938
190,135.090744018554688
191,148.622344970703125
192,158.722091674804688
193,157.571121215820312
194,177.251953125000000
195,230.559921264648438
196,208.631500244140625
197,158.298706054687500
198,122.116531372070312
199,111.908943176269531
200,97.788696289062500
201,86.725814819335938
202,85.497154235839844
203,61.856636047363281
204,60.272171020507812
205,63.422908782958984
206,63.958374023437500
207,59.698001861572266
208,105.659599304199219
209,147.298797607421875
210,155.122299194335938
211,157.792144775390625
212,163.791381835937500
213,198.541152954101562
214,249.531875610351562
215,465.759033203125000
216,319.710906982421875
217,198.444610595703125
218,126.860282897949219
219,105.955177307128906
220,101.227264404296875
221,97.421142578125000
222,90.165885925292969
223,60.628845214843750
224,73.011444091796875
225,55.431732177734375
226,54.203826904296875
227,57.596225738525391
228,57.542255401611328
229,57.542339324951172
230,124.396011352539062
231,142.983963012695312
232,146.861419677734375
233,169.566116333007812
234,173.500335693359375
235,219.176910400390625
236,335.656860351562500
237,648.618713378906250
238,371.257232666015625
239,230.848999023437500
240,119.864372253417969
241,91.227493286132812
242,90.499053955078125
243,92.236038208007812
244,75.989799499511719
245,55.625812530517578
246,61.470314025878906
247,64.970359802246094
248,83.433654785156250
249,65.808181762695312
250,55.559391021728516
251,51.890537261962891
252,54.736961364746094
253,52.530113220214844
254,54.826438903808594
255,95.347259521484375
256,102.257369995117188
257,77.667396545410156
258,70.377632141113281
259,80.990150451660156
260,80.604957580566406
261,84.984428405761719
262,140.065383911132812
263,180.775283813476562
264,136.449996948242188
265,111.814460754394531
266,95.343582153320312
267,86.725601196289062
268,64.734405517578125
269,56.068531036376953
270,53.579822540283203
271,56.217880249023438
272,56.625556945800781
273,76.287048339843750
274,110.989181518554688
275,159.793182373046875
276,65.015403747558594
277,59.393737792968750
278,57.663349151611328
279,58.058410644531250
280,54.344795227050781
281,53.378231048583984
282,61.269359588623047
283,65.220031738281250
284,68.340309143066406
285,67.049125671386719
286,61.773548126220703
287,66.115135192871094
288,71.926162719726562
289,76.815040588378906
290,92.013771057128906
291,80.376022338867188
292,84.051391601562500
293,89.664550781250000
294,87.815238952636719
295,64.205505371093750
296,54.484569549560547
